User_id,accNr,iban,balance
48,6305759070,AT30 9941 3497 2207 5199,49793879.1099
26,6122746281,RO06 LLPK K0H7 Q8JK E1YD RRYM,62288898.0291
24,6869044805,GL28 4193 9128 3041 61,63682154.4633
23,9001089276,GR18 5625 256J TD9K RDEY XOSD XUU,23151350.008
45,6900566759,MC31 2514 1727 78XD 1ZOP GFNH L42,3327368.2604
25,6779787173,FR85 1541 6657 20YH XIMR O5H9 T00,22637357.7086
11,9535453468,ME33 0207 2084 2216 5605 49,95237138.5295
39,6618362557,SE88 3170 3953 8972 9447 0570,58436000.1685
32,5598551574,MT47 YGGF 8103 4DFB 12JT WXG6 ONLD GKE,52270617.0237
15,9499963698,LT36 5273 0279 2708 3784,96618181.3695
25,5585942170,GR47 9118 849H M609 BHXK C36X IAZ,18323542.5198
17,9969627363,PL37 4710 4223 0469 7020 4736 3081,3027455.1653
48,8043102365,NO11 8624 0967 519,77696004.4382
3,9681336435,PK84 JJXJ BN4U 3M9V SG6V UHUC,27915363.917
12,8426086843,PS68 TVXO HKLX XBMA EDCQ SGF6 RIJR F,32973527.2108
10,9717216516,SM34 A957 0601 309X GZBJ QS6R YXE,49537048.5206
38,8416655574,MU62 VHKY 4017 8332 4667 2841 476P WZ,55103984.1017
19,7324504695,LI29 3666 8IKV JYJ8 6KAH E,49215530.9445
25,6644342370,CZ26 9212 3896 9777 3944 4003,57182912.0041
30,9163221553,ME13 7418 3644 5630 7247 07,37467602.3229
1,6445877530,BE24 3430 8632 9645,17600970.249
25,8057388161,AL57 4308 4810 QGEP XDWC A9DA 01GR,32473122.9922
20,5151736849,BG15 DGAH 5212 95BV EYLI 3R,29600900.704
48,9061319301,GR07 9577 161T EBMY SVZH KPN3 VBG,35142622.7903
41,9468542649,LU27 666X ANOU V0N1 ZLOR,20780937.4694
47,6211566348,FO50 1758 8403 4282 02,12212379.3534
39,7375625607,IL42 9856 0527 0988 8274 973,43579073.2643
29,6422364969,FO04 4296 9927 7122 42,11736444.5666
50,5962022964,AE92 2822 5061 8592 9081 207,68405393.2439
9,8959073443,ES78 4713 4307 0991 8477 6416,16940851.7849
4,7049970309,GE15 QR03 2976 4727 3838 32,76285356.9152
24,7152567576,FR21 2916 5117 78JI WAS0 HCBH L65,30746093.2636
5,9731122200,MT85 ASYQ 1040 8CTJ O3B3 ZC1C N6IG RAS,31908782.1983
22,6453165985,DO43 FRY1 9151 7243 4900 4423 5355,57115895.4771
11,9860154997,AT09 4530 2013 7631 6269,20328097.3452
20,9518340522,TR68 3881 3I3T M1JO EDXT ZNFI OQ,38996153.5136
38,8844532904,IE24 WKYW 5395 2723 0735 23,53379812.3734
19,6068244454,PL94 9577 8475 6750 6197 2464 6794,29472063.0506
31,8242874628,MR76 9793 6397 9455 6821 0852 501,42671097.7894
39,5577381990,MC17 1277 9696 14UO H3FC CJMA C74,49002064.4039
14,8639966308,PL26 8988 0004 2164 0796 8308 8263,77042288.3921
46,9941104794,TR39 3535 53RY 2FNE AOZZ CLNR UT,70180811.5137
36,7091032953,MC18 1988 4026 75OA SQO1 7OIC T80,12613491.8113
13,6765448060,LU29 402V 18HG APPD IFFE,22569618.0347
24,5385096800,FR16 0739 3662 426V NKGA JFAX 347,43901850.2577
21,9737749691,AE58 5392 7080 6845 1915 987,87452246.7463
38,7393900808,MD70 UFYR U14N 5W4I ELOE WT7G,32455780.8866
42,9946798189,IL75 8879 1045 0921 6712 101,97427565.1565
21,8608786034,BE31 2708 3910 6224,35477247.2777
16,5691281705,LU55 674H TUSP GPZ0 ZREQ,9193139.0406
1,7769297733,DO05 HNGE 6557 2562 0732 4754 6913,78309183.8725
49,6134343400,FR10 5028 3698 16NR 4PBM CHKD D36,36203196.2664
25,8525094977,GT83 XWNL FHJS MTTB 2BOQ SB39 VU0N,2902439.6509
31,6439630378,FR23 7947 4189 97HQ GCKU S1JW T00,5302362.1155
41,6895951241,FR24 4952 2062 70ER PGMV VNP6 D63,35319768.5432
34,6030987317,SE91 3822 0335 1579 8401 2921,91538645.4813
47,9427731607,FR48 1103 0434 51AY ESAL MZLU E89,58229218.7966
8,9099936706,MT13 YXNL 6171 2ORU YAL4 ZMVN KSVL TTV,73433977.2905
37,9102482978,ME40 4236 1937 3478 6849 29,34287743.9372
35,8680397894,FR59 2495 7327 05AJ EZTH MDCL G85,76370929.2295
45,6665590939,HR54 5649 7024 2927 3583 1,16120250.8985
31,9139278438,ES44 0580 7135 9223 0075 5321,86106551.2393
9,8522276822,IE81 DLJH 3237 0204 4538 48,40766233.7959
10,8591919049,FR98 0863 7169 69MH ELA5 UVGA 965,15899027.3637
2,6699667951,KZ50 217C S4DA PKOA GENT,34814373.4795
6,7422233777,IE86 ABTZ 4909 7890 1539 49,67588725.6024
14,7635183358,DK05 2379 8629 0393 59,47613442.851
1,9395938332,ES51 2824 9575 5067 2718 4633,98552714.0385
32,8932565692,SK35 8163 6979 1958 5656 4459,37785192.3684
9,5135584028,EE71 3868 2578 1367 8868,86237391.6641
27,5178089484,FR58 7579 1510 97ZF LPK4 YSZT I86,50667904.6574
16,5782630887,SA55 494B HACK TSZM LEPP BAQP,76438887.7718
47,6467888368,KZ69 662W YIOS INMA 8ZSI,93057438.5034
