Card_Nr,accNr,pin,cvv,valid_Month,valid_Year
5048372824751412,6305759070,7206,999,4,2026
4041591271270234,6122746281,1384,648,7,2030
4041378117238,6869044805,1913,727,5,2025
4405895143845507,9001089276,9917,698,11,2029
5100130103111293,6900566759,2383,856,12,2030
5002350074042629,6779787173,6465,770,8,2028
4534966218988,9535453468,2288,830,7,2025
4041379178270,6618362557,7991,730,8,2026
4041598823817305,5598551574,2662,980,2,2025
4041597558634513,9499963698,8660,777,12,2029
4017956998144261,5585942170,2580,924,1,2025
5010127943287696,9969627363,8870,565,10,2026
5100176447728136,8043102365,5672,634,11,2023
4405750484172112,9681336435,9470,748,3,2025
4017951628056,8426086843,4421,816,10,2027
4041375392040,9717216516,6317,957,5,2026
4917360587431083,8416655574,4530,886,9,2027
4258425023058,7324504695,3196,974,9,2027
4359590572109,6644342370,6422,944,12,2024
5425840305404282,9163221553,2085,716,4,2025
5157853650149430,6445877530,5236,780,7,2026
5002359600881368,8057388161,8726,719,3,2025
4026520771697751,5151736849,6615,981,11,2027
5048378425945121,9061319301,5068,884,1,2026
4844592389999127,9468542649,4311,949,2,2025
4405747526465520,6211566348,9682,570,6,2030
4041590013983,7375625607,6812,996,3,2027
5211190256621973,6422364969,1802,738,2,2023
4913331951807582,5962022964,4131,909,8,2027
4041374762634469,8959073443,8183,935,3,2027
5100136191653021,7049970309,9113,611,11,2030
5108752895374854,7152567576,1211,926,10,2030
4026687816711598,9731122200,6932,645,12,2027
4017950320546145,6453165985,4576,734,8,2026
4017953378093580,9860154997,2851,845,12,2024
5428724245795768,9518340522,2034,736,6,2027
5010125448034464,8844532904,5652,556,9,2023
5108755935928738,6068244454,7978,695,6,2026
4041378574953991,8242874628,2374,602,10,2027
5010123167609947,5577381990,5757,803,4,2027
4508782169520675,8639966308,5865,987,3,2026
4612860842317,9941104794,4243,715,5,2023
4041370051989,7091032953,8440,615,5,2023
4913670613760287,6765448060,1578,945,3,2028
5048370352391940,5385096800,3301,944,8,2029
4917025045817773,9737749691,2369,844,9,2024
4913986309236030,7393900808,2087,906,11,2028
4844185142007823,9946798189,8459,854,9,2025
4041594514069,8608786034,5821,849,1,2028
4405301144061392,5691281705,6589,592,6,2029
4405140742904870,7769297733,5925,964,3,2025
5108759371824583,6134343400,9417,882,4,2026
5100142755004452,8525094977,5157,742,10,2025
