Card_Nr,accNr,pin,cvv,valid_Month,valid_Year
5048372824751412,9848241459,7206,999,4,2026
4041591271270234,6661740200,1384,648,7,2030
4041378117238,6042075344,1913,727,5,2025
4405895143845507,7637064653,9917,698,11,2029
5100130103111293,5857710065,2383,856,12,2030
5002350074042629,8471356588,6465,770,8,2028
4534966218988,9037387776,2288,830,7,2025
4041379178270,5507739370,7991,730,8,2026
4041598823817305,8743766066,2662,980,2,2025
4041597558634513,8603628666,8660,777,12,2029
4017956998144261,8834268320,2580,924,1,2025
5010127943287696,7958566536,8870,565,10,2026
5100176447728136,6493080032,5672,634,11,2023
4405750484172112,8580106111,9470,748,3,2025
4017951628056,5679839771,4421,816,10,2027
4041375392040,9949453582,6317,957,5,2026
4917360587431083,9124525398,4530,886,9,2027
4258425023058,6722925876,3196,974,9,2027
4359590572109,7223297098,6422,944,12,2024
5425840305404282,9041374137,2085,716,4,2025
5157853650149430,8315285781,5236,780,7,2026
5002359600881368,5724676051,8726,719,3,2025
4026520771697751,7106171071,6615,981,11,2027
5048378425945121,8117923289,5068,884,1,2026
4844592389999127,5569262396,4311,949,2,2025
4405747526465520,8789183477,9682,570,6,2030
4041590013983,6768231189,6812,996,3,2027
5211190256621973,5903867134,1802,738,2,2023
4913331951807582,5340842209,4131,909,8,2027
4041374762634469,7084548245,8183,935,3,2027
5100136191653021,5272903835,9113,611,11,2030
5108752895374854,9829577712,1211,926,10,2030
4026687816711598,9061990229,6932,645,12,2027
4017950320546145,9219598109,4576,734,8,2026
4017953378093580,7835331094,2851,845,12,2024
5428724245795768,5552592523,2034,736,6,2027
5010125448034464,8741117065,5652,556,9,2023
5108755935928738,7432358983,7978,695,6,2026
4041378574953991,5692994892,2374,602,10,2027
5010123167609947,8299869652,5757,803,4,2027
4508782169520675,8183771285,5865,987,3,2026
4612860842317,9977636607,4243,715,5,2023
4041370051989,9568464244,8440,615,5,2023
4913670613760287,7035102021,1578,945,3,2028
5048370352391940,7360273463,3301,944,8,2029
4917025045817773,7119873197,2369,844,9,2024
4913986309236030,7758901682,2087,906,11,2028
4844185142007823,5507592229,8459,854,9,2025
4041594514069,7839679905,5821,849,1,2028
4405301144061392,9863686571,6589,592,6,2029
4405140742904870,6798199833,5925,964,3,2025
5108759371824583,7896594264,9417,882,4,2026
5100142755004452,5936677721,5157,742,10,2025
5100139325367906,7985601796,9879,813,4,2029
4917710616848808,7403938919,2329,568,9,2023
4175000854405207,7656993907,5559,732,3,2028
5007666786048199,5679085468,5312,729,3,2027
4175008129429704,5413936249,2243,798,10,2030
5570108282392711,5965726701,2087,798,7,2029
4026246525701331,8243631255,7583,958,6,2030
4043699639213,9108157704,5993,599,4,2029
5475201545158676,7270547081,5432,925,11,2026
4590899623514091,9870494319,5564,875,8,2029
4041371367135686,8583369432,1850,671,12,2027
5108755147835846,8729292052,8304,666,5,2025
4017952972739432,6144239026,7208,605,9,2025
4913040712455561,9208573520,4742,768,9,2030
4405777424950083,8893909865,5951,743,3,2026
5100144364407159,5904772650,3778,889,3,2025
4917995686945580,7573840267,5923,901,11,2029
4917328829454411,8984607783,2847,812,9,2028
5002353250473451,5575373052,8669,768,8,2030
4508387009533258,6023735772,8294,878,3,2024
4508139815572297,5577436324,2830,971,9,2027
4041596074455577,5752380261,4340,797,12,2027
4508893403092494,6023482978,5008,564,3,2028
4041599198536058,6215045692,3066,877,5,2030
5598067171496041,8024604510,3102,657,5,2028
4917295786745596,5848167817,1343,648,2,2030
5436393903261958,5586384913,4637,738,6,2025
4041597643664772,7053029596,7870,873,1,2028
4041590316098436,5360031166,8561,971,3,2030
5416725635157976,9972869255,1137,560,10,2025
5100177394823870,7167195118,4889,880,11,2025
5100179480680636,8570296771,4084,689,11,2025
4917961861715784,6529508318,8607,922,7,2028
5010126117849240,6570287889,7976,937,8,2028
5108751477005589,5605973444,4660,984,4,2028
4913839506827780,6010821094,4274,600,10,2026
5539355924755041,8814081192,5295,714,10,2023
4017955064519448,9962266477,4530,971,8,2024
4026990673153023,7781209403,5251,816,9,2025
5100133998724006,6707119281,9420,628,2,2024
4041597651938688,7525165666,8089,960,9,2028
5007666723345195,8866363410,4694,793,9,2027
4913575492226500,6123991251,7756,574,9,2027
4844196280353044,9516824598,2631,657,8,2024
4405012474370648,7019689131,8859,942,11,2025
4844853861283947,8599531615,7616,658,2,2026
4041372977306683,7913536814,3688,863,10,2028
4041374413060,7401637614,3182,775,2,2028
4041590129003,9877971953,3455,689,1,2030
4041378779680,5332890337,9737,836,11,2023
5100134307701719,9121954430,4014,918,11,2027
5002359146933632,7662725167,6646,901,8,2029
5010127910949468,9229000612,3747,967,5,2025
4913360093770390,5165220189,6036,734,5,2023
5007664841622496,9462217498,3417,755,3,2024
5502664136508160,9528280548,4116,760,11,2023
5100148588776802,7486658687,8880,607,11,2024
4041593297515832,8945121145,1838,899,12,2030
5274359483211577,9634119832,3611,621,3,2028
4017956706865,5889211884,1367,918,9,2028
5100131720539023,5164895415,7400,858,11,2028
4405331026689598,6104965450,6221,641,8,2030
4017954635615215,5325759565,4603,590,7,2024
4017957110976,6615988445,6630,623,6,2024
5002355792926912,5587006200,8713,659,7,2023
5108752397452620,8840098186,8821,841,12,2029
5273259402691688,9668719072,3380,700,4,2028
4026760094456846,7557581001,4521,791,5,2029
5010122267121423,8467689965,2112,846,4,2023
4041377526214734,5546531622,6298,588,11,2026
4844318936083086,7601229442,1752,709,11,2027
4017951658117194,9193719714,7371,902,2,2029
4041596101303,6545698165,1313,602,12,2027
4041591155189,7568033272,3121,714,5,2024
4508095062869366,8596425012,7217,759,2,2028
5100177223316518,8385172701,5482,882,5,2027
4956538904599227,9755284544,6433,965,1,2027
4913394998331941,7046051491,2703,635,7,2027
4026493085400314,6864161936,8924,852,12,2028
4917073737150038,5149158428,6541,995,5,2028
5511125397390093,7938867569,4125,859,7,2029
5002358858865693,6212706501,7245,730,5,2025
5002355609846733,8130959151,6966,602,4,2029
4405194900150974,9925404199,6315,886,7,2027
4365921811900,7884343827,5329,909,8,2024
4026789584672166,9902623175,3792,932,9,2030
4041378518690,9846164774,6357,842,4,2027
4026043383642834,7355826819,3601,860,4,2030
5010125534008919,7124167516,9760,937,6,2026
4041597464387,8770156130,6351,568,11,2026
4175003890705077,9651493316,3281,898,6,2023
4175004124696777,8621552540,8626,752,4,2023
5100140448745432,6949743551,5325,702,10,2028
4405151751200944,6478756449,1174,882,8,2025
5100132065308248,5640490396,8201,607,7,2027
4844258837272448,9001081951,7168,759,1,2023
4844214378337827,7005097170,2789,649,9,2028
5100136584701387,6454337034,8243,909,6,2028
4041378564863747,8209341679,5652,594,10,2024
4917753119004891,6188259238,3410,622,5,2030
4175007085904148,6997448322,9840,573,7,2023
5007660362269824,9757079234,8519,841,11,2030
4041596920691540,5524372510,6763,748,6,2028
4508632811617892,6425439466,5899,725,8,2028
4017954965547,6267937725,9267,745,9,2023
4405462664031312,9814915320,8220,846,12,2028
4041378122685459,8276260554,1752,723,9,2024
5002357085491935,9381559857,6157,699,3,2029
4175009127756320,9272090168,6476,858,2,2026
4017953087502467,7591283574,2417,565,2,2028
4041377403266,7885279626,7614,772,1,2026
5231236915521710,7120374191,6675,778,10,2025
4017956740161,7930615224,2496,846,9,2029
5010125881127106,7127040171,6439,899,9,2026
5449849903410783,7632480627,4030,960,2,2029
4937883185943239,8513708600,4833,573,5,2028
4041376904305718,7817129414,6039,897,8,2025
4844843242661747,8700798506,2053,705,7,2025
5100171405861102,7992494424,7136,682,9,2026
4917406880965119,6387876824,3171,646,5,2023
4041595358995,7434746403,4431,971,4,2027
4917071747770472,7831880161,9840,596,10,2026
4017953914553,7874155590,4975,712,12,2023
4913639350530724,8072726742,2758,600,1,2029
4017952219988,5816772750,2513,604,2,2026
5100147238277716,5836656768,4407,783,7,2029
4917315672379407,8240581469,1538,886,4,2030
4844684501853348,8010641027,2296,580,10,2023
4175003850296901,6460697940,5584,954,3,2028
4917707498874308,6094786154,5513,697,3,2028
4175000409788081,8374139092,5281,882,9,2029
4508880811019656,5656222883,9052,838,6,2024
4844414893854906,6386667928,1916,868,4,2025
4041596546325,7747327315,5791,852,11,2026
4017953354461,6217836564,8136,892,1,2026
5108757131152758,8615796368,6130,716,12,2026
5466854923645507,6680186363,2746,743,12,2026
4844036229365073,5323719392,2327,653,5,2024
4917191875496565,5605275868,6655,757,1,2029
4041370693483,9427520152,5263,805,6,2029
4026898918210492,7874679040,9746,991,2,2023
4917917216550995,7410111480,4154,679,1,2025
5409815715830169,5258043565,8644,715,11,2026
5010121147696620,9395599488,8735,741,5,2029
5010126157925215,6451554183,5922,914,1,2026
4844603735690912,7058095858,5914,574,2,2028
4508429028464766,9834127398,9128,753,1,2028
